"","V1","V2"
"152","8f. How much do you agree with the following statements? The teachers at this school explain things a different way if I don't understand something in class.","X152"
"153",NA,"X153"
"154",NA,"X154"
"155",NA,"X155"
"156","8g. How much do you agree with the following statements? The teachers at this school notice when I am upset or having emotional difficulty.","X156"
"157",NA,"X157"
"158",NA,"X158"
"159",NA,"X159"
"160","9a. How much do you agree with the following statements? I'm learning a lot in my classes at this school. ","X160"
"161",NA,"X161"
"162",NA,"X162"
"163",NA,"X163"
"164","9b. How much do you agree with the following statements? I feel safe and comfortable with my teachers at this school.","X164"
"165",NA,"X165"
"166",NA,"X166"
"167",NA,"X167"
"168","9c. How much do you agree with the following statements? There is at least one adult in the school that I can confide in.","X168"
"169",NA,"X169"
"170",NA,"X170"
"171",NA,"X171"
"172","9d. How much do you agree with the following statements? My teachers will always listen to students' ideas.","X172"
"173",NA,"X173"
"174",NA,"X174"
"175",NA,"X175"
"176","9e. How much do you agree with the following statements? My teachers always keep their promises.","X176"
"177",NA,"X177"
"178",NA,"X178"
"179",NA,"X179"
"180","9f. How much do you agree with the following statements? My teachers treat me with respect.","X180"
"181",NA,"X181"
"182",NA,"X182"
"183",NA,"X183"
"184","9g. How much do you agree with the following statements? When my teachers tell me not to do something, I know they have a good reason.","X184"
"185",NA,"X185"
"186",NA,"X186"
"187",NA,"X187"
"188","9h. How much do you agree with the following statements? My classes at this school really make me think. ","X188"
"189",NA,"X189"
"190",NA,"X190"
"191",NA,"X191"
"192","10a. How much do you agree with the following statements?  My teachers incorporate students' cultures/ backgrounds into the curriculum to make learning more meaningful.","X192"
"193",NA,"X193"
"194",NA,"X194"
"195",NA,"X195"
"196",NA,"X196"
"197","10b. How much do you agree with the following statements? I see people of many cultures/backgrounds represented in the curriculum.","X197"
"198",NA,"X198"
"199",NA,"X199"
"200",NA,"X200"
"201",NA,"X201"
"202","10c. How much do you agree with the following statements? My teachers connect to students of different cultures/backgrounds.","X202"
"203",NA,"X203"
"204",NA,"X204"
"205",NA,"X205"
"206",NA,"X206"
"207","10d. How much do you agree with the following statements? My teachers can communicate well with parents/guardians from different cultures/backgrounds.","X207"
"208",NA,"X208"
"209",NA,"X209"
"210",NA,"X210"
"211",NA,"X211"
"212","10e. How much do you agree with the following statements? My teachers appreciate my culture/background.","X212"
"213",NA,"X213"
"214",NA,"X214"
"215",NA,"X215"
"216",NA,"X216"
"217","10f. How much do you agree with the following statements? This school offers a wide enough variety of programs, classes and activities to keep me interested in school.","X217"
"218",NA,"X218"
"219",NA,"X219"
"220",NA,"X220"
"221",NA,"X221"
"222","10g. How much do you agree with the following statements? The programs, classes, and activities at this school encourage students to develop talent outside academics.  ","X222"
"223",NA,"X223"
"224",NA,"X224"
"225",NA,"X225"
"226",NA,"X226"
"227","10h. How much do you agree with the following statements? This school is kept clean.","X227"
"228",NA,"X228"
"229",NA,"X229"
"230",NA,"X230"
"231",NA,"X231"
"232","10i. How much do you agree with the following statements? Most of the teaching staff at this school are teaching me the organizational skills and work habits (like note-taking and keeping track of assignments) that I need to succeed in school.         ","X232"
"233",NA,"X233"
"234",NA,"X234"
"235",NA,"X235"
"236",NA,"X236"
"237","10j. How much do you agree with the following statements? Most students at this school treat each other with respect.","X237"
"238",NA,"X238"
"239",NA,"X239"
"240",NA,"X240"
"241",NA,"X241"
"242","10k. How much do you agree with the following statements? At this school students with disabilities are included in all school activities (lunch, class trips, etc.).    ","X242"
"243",NA,"X243"
"244",NA,"X244"
"245",NA,"X245"
"246",NA,"X246"
"247","11a. How much do you agree with the following statements? At this school students harass or bully other students.","X247"
"248",NA,"X248"
"249",NA,"X249"
"250",NA,"X250"
"251","11b. How much do you agree with the following statements? At this school students harass or bully each other based on differences (such as race, color, ethnicity, national origin, citizenship/immigration status, religion, gender, gender identity, gender expression, sexual orientation, disability or weight).","X251"
"252",NA,"X252"
"253",NA,"X253"
"254",NA,"X254"
"255","11c. How much do you agree with the following statements? At this school students get into physical fights.","X255"
"256",NA,"X256"
"257",NA,"X257"
"258",NA,"X258"
"259","11d. How much do you agree with the following statements? At this school students drink alcohol, use illegal drugs, or abuse prescription drugs while at school.        ","X259"
"260",NA,"X260"
"261",NA,"X261"
"262",NA,"X262"
"263","11e. How much do you agree with the following statements? At this school there is gang activity.","X263"
"264",NA,"X264"
"265",NA,"X265"
"266",NA,"X266"
"267","12a. If you are a student in grades 9-12, ANSWER this question. Adults at this school help students aspiring to enter the workforce, develop a plan to reach their future employment goals.","X267"
"268",NA,"X268"
"269",NA,"X269"
"270",NA,"X270"
"271","12b. If you are a student in grades 9-12, ANSWER this question. Adults at this school provide students with information about the college enrollment process.","X271"
"272",NA,"X272"
"273",NA,"X273"
"274",NA,"X274"
"275","12c. If you are a student in grades 9-12, ANSWER this question. Adults at this school help keep me on track for college or career.","X275"
"276",NA,"X276"
"277",NA,"X277"
"278",NA,"X278"
"279","12d. If you are a student in grades 9-12, ANSWER this question. Adults at this school support students in navigating the post-secondary process.","X279"
"280",NA,"X280"
"281",NA,"X281"
"282",NA,"X282"
"283","12e. If you are a student in grades 9-12, ANSWER this question. This school programs students with appropriate courses to achieve their postsecondary goals.","X283"
"284",NA,"X284"
"285",NA,"X285"
"286",NA,"X286"
"287","12f. If you are a student in grades 9-12, ANSWER this question. There is an adult who is helping me plan for my next steps after graduation (career planning, college selection and application process, financial aid process, etc.).                       ","X287"
"288",NA,"X288"
"289",NA,"X289"
"290",NA,"X290"
"291","13a. If you are a student in grades 6-8, ANSWER this question. If you are a student in grades 9-12, SKIP this question. This school provides useful information to students about the application/enrollment process to high school.                         ","X291"
"292",NA,"X292"
"293",NA,"X293"
"294",NA,"X294"
"295","13b. If you are a student in grades 6-8, ANSWER this question. If you are a student in grades 9-12, SKIP this question. This school provides guidance for the application process for high school.                     ","X295"
"296",NA,"X296"
"297",NA,"X297"
"298",NA,"X298"
"299","13c. If you are a student in grades 6-8, ANSWER this question. If you are a student in grades 9-12, SKIP this question. This school educates families about the application/enrollment process for high school.                    ","X299"
"300",NA,"X300"
"301",NA,"X301"
"302",NA,"X302"
