"","V1","V2"
"163","9c2. During this school year, I was not offered a class in Dance.","X163"
"164","9c3. During this school year, I was not offered a class in Music.","X164"
"165","9c4. During this school year, I was not offered a class in Theater.","X165"
"166","10a1. During this school year, I participated in Art before or after school or during free periods.","X166"
"167","10a2. During this school year, I participated in Dance before or after school or during free periods.","X167"
"168","10a3. During this school year, I participated in Music before or after school or during free periods.","X168"
"169","10a4. During this school year, I participated in Theater before or after school or during free periods.","X169"
"170","10b1. During this school year, Art was offered before or after school or during free periods but I did NOT participate.","X170"
"171","10b2. During this school year, Dance was offered before or after school or during free periods but I did NOT participate.","X171"
"172","10b3. During this school year, Music was offered before or after school or during free periods but I did NOT participate.","X172"
"173","10b4. During this school year, Theater was offered before or after school or during free periods but I did NOT participate.","X173"
"174","10c1. During this school year, Art was NOT offered to me before or after school or during free periods.","X174"
"175","10c2. During this school year, Dance was NOT offered to me before or after school or during free periods.","X175"
"176","10c3. During this school year, Music was NOT offered to me before or after school or during free periods.","X176"
"177","10c4. During this school year, Theater was NOT offered to me before or after school or during free periods.","X177"
"178","11a. At my school students drink alcohol, use illegal drugs, or abuse prescription drugs while at school.","X178"
"179",NA,"X179"
"180",NA,"X180"
"181",NA,"X181"
"182","11b. At my school students get into physical fights.","X182"
"183",NA,"X183"
"184",NA,"X184"
"185",NA,"X185"
"186","11c. At my school students harass or bully other students.","X186"
"187",NA,"X187"
"188",NA,"X188"
"189",NA,"X189"
"190","11d. At my school students harass or bully each other based on differences (such as race, color, ethnicity, national origin, citizenship/immigration status, religion, gender, gender identity, gender expression, sexual orientation, disability or weight).","X190"
"191",NA,"X191"
"192",NA,"X192"
"193",NA,"X193"
"194","11e. At my school there is gang activity.","X194"
"195",NA,"X195"
"196",NA,"X196"
"197",NA,"X197"
