"","V1","V2"
"172",NA,"X172"
"173",NA,"X173"
"174","10c. During this school year, which of the following activities did you participate in either before or after school or during free periods? Dance","X174"
"175",NA,"X175"
"176",NA,"X176"
"177","10d. During this school year, which of the following activities did you participate in either before or after school or during free periods? Theater","X177"
"178",NA,"X178"
"179",NA,"X179"
"180","10e. During this school year, which of the following activities did you participate in either before or after school or during free periods? Foreign language","X180"
"181",NA,"X181"
"182",NA,"X182"
"183","10f. During this school year, which of the following activities did you participate in either before or after school or during free periods? Computer skills/Technology","X183"
"184",NA,"X184"
"185",NA,"X185"
"186","10g. During this school year, which of the following activities did you participate in either before or after school or during free periods? School sports teams or clubs","X186"
"187",NA,"X187"
"188",NA,"X188"
"189","10h. During this school year, which of the following activities did you participate in either before or after school or during free periods? Tutoring/Enrichment activities","X189"
"190",NA,"X190"
"191",NA,"X191"
"192","11. My school offers a wide enough variety of classes and activities to keep me interested in school.","X192"
"193",NA,"X193"
"194",NA,"X194"
"195",NA,"X195"
"196","12a. Most students in my school help and care about each other.","X196"
"197",NA,"X197"
"198",NA,"X198"
"199",NA,"X199"
"200","12b. Most students in my school just look out for themselves.","X200"
"201",NA,"X201"
"202",NA,"X202"
"203",NA,"X203"
"204","12c. Most students in my school treat each other with respect.","X204"
"205",NA,"X205"
"206",NA,"X206"
"207",NA,"X207"
"208","13a. I stay home because I don't feel safe at school.","X208"
"209",NA,"X209"
"210",NA,"X210"
"211",NA,"X211"
"212","13b. Students threaten or bully other students at school.","X212"
"213",NA,"X213"
"214",NA,"X214"
"215",NA,"X215"
"216","13c. Students get into physical fights at my school.","X216"
"217",NA,"X217"
"218",NA,"X218"
"219",NA,"X219"
"220","13d. Adults at my school yell at students.","X220"
"221",NA,"X221"
"222",NA,"X222"
"223",NA,"X223"
"224","13e. Students in my school are harassed or threatened based on race, color, creed, ethnicity, national origin, citizenship/immigration status, religion, gender, gender identity, gender expression, sexual orientation or disability.","X224"
"225",NA,"X225"
"226",NA,"X226"
"227",NA,"X227"
"228","13f. Students use alcohol or illegal drugs while at school.","X228"
"229",NA,"X229"
"230",NA,"X230"
"231",NA,"X231"
"232","13g. There is gang activity in my school.","X232"
"233",NA,"X233"
"234",NA,"X234"
"235",NA,"X235"
"236","14a. There is a person or program in my school that helps students resolve conflicts.","X236"
"237",NA,"X237"
"238",NA,"X238"
"239",NA,"X239"
"240","14b. Discipline in  my school is fair.","X240"
"241",NA,"X241"
"242",NA,"X242"
"243",NA,"X243"
"244","14c. I am safe in my classes.","X244"
"245",NA,"X245"
"246",NA,"X246"
"247",NA,"X247"
"248","14d. I am safe in the hallways, bathrooms, and locker rooms at my school.","X248"
"249",NA,"X249"
"250",NA,"X250"
"251",NA,"X251"
"252","14e. I am safe on school property outside my school building.","X252"
"253",NA,"X253"
"254",NA,"X254"
"255",NA,"X255"
"256","14f. My school is kept clean.","X256"
"257",NA,"X257"
"258",NA,"X258"
"259",NA,"X259"
"260","14g. Answer this question only if your school has School Safety Agents: The presence and actions of School Safety Agents help to promote a safe and respectful learning environment.","X260"
"261",NA,"X261"
"262",NA,"X262"
"263",NA,"X263"
