"","V1","V2"
"189","7c. I feel safe in the hallways, bathrooms, locker rooms, and cafeteria of this school.","X189"
"190",NA,"X190"
"191",NA,"X191"
"192",NA,"X192"
"193","7d. I feel safe in my classes at this school.","X193"
"194",NA,"X194"
"195",NA,"X195"
"196",NA,"X196"
"197","8a. At this school students harass, bully or intimidate other students.","X197"
"198",NA,"X198"
"199",NA,"X199"
"200",NA,"X200"
"201","8b. At this school students harass, bully, or intimidate each other because of their race or ethnicity. ","X201"
"202",NA,"X202"
"203",NA,"X203"
"204",NA,"X204"
"205","8c. At this school students harass, bully, or intimidate each other because of their gender, gender identity, gender expression, or sexual orientation.","X205"
"206",NA,"X206"
"207",NA,"X207"
"208",NA,"X208"
"209","8d. At this school students harass, bully, or intimidate each other because of other differences, like national origin, citizenship/immigration status, religion, disability, or weight.","X209"
"210",NA,"X210"
"211",NA,"X211"
"212",NA,"X212"
"213","8e. At this school students get into physical fights.","X213"
"214",NA,"X214"
"215",NA,"X215"
"216",NA,"X216"
"217","8f. At this school students drink alcohol, use illegal drugs, or abuse prescription drugs while at school.","X217"
"218",NA,"X218"
"219",NA,"X219"
"220",NA,"X220"
"221","8g. At this school there is gang activity.","X221"
"222",NA,"X222"
"223",NA,"X223"
"224",NA,"X224"
"225","9a. If you are a student in grades 6-8, ANSWER this question. This school provides useful information to students about the application/enrollment process to high school.","X225"
"226",NA,"X226"
"227",NA,"X227"
"228",NA,"X228"
"229","9b. If you are a student in grades 6-8, ANSWER this question. This school provides guidance for the application process for high school.","X229"
"230",NA,"X230"
"231",NA,"X231"
"232",NA,"X232"
"233","9c. If you are a student in grades 6-8, ANSWER this question. This school educates families about the application/enrollment process for high school.","X233"
"234",NA,"X234"
"235",NA,"X235"
"236",NA,"X236"
"237","10a. If you are a student in grades 9-12, ANSWER this question. Adults at this school (including teachers, administrators, counselors, and the principal) help keep me on track for college or career. ","X237"
"238",NA,"X238"
"239",NA,"X239"
"240",NA,"X240"
"241","10b. If you are a student in grades 9-12, ANSWER this question. Adults at this school (including teachers, administrators, counselors, and the principal) provide me with information about the college enrollment process.","X241"
"242",NA,"X242"
"243",NA,"X243"
"244",NA,"X244"
"245","10c. If you are a student in grades 9-12, ANSWER this question. Adults at this school (including teachers, administrators, counselors, and the principal) help me plan for my next steps after graduation (career planning, college selection and application process, financial aid process, etc.).","X245"
"246",NA,"X246"
"247",NA,"X247"
"248",NA,"X248"
"249","10d. If you are a student in grades 9-12, ANSWER this question. Adults at this school (including teachers, administrators, counselors, and the principal) help me choose which colleges to apply to.","X249"
"250",NA,"X250"
"251",NA,"X251"
"252",NA,"X252"
"253","10e. If you are a student in grades 9-12, ANSWER this question. Adults at this school (including teachers, administrators, counselors, and the principal) talk with me about how to pay for college. ","X253"
"254",NA,"X254"
"255",NA,"X255"
"256",NA,"X256"
"257","10f. If you are a student in grades 9-12, ANSWER this question. Adults at this school (including teachers, administrators, counselors, and the principal) help me plan for how to meet my future career goals","X257"
"258",NA,"X258"
"259",NA,"X259"
"260",NA,"X260"
