"","V1","V2"
"167",NA,"X167"
"168","11a. How often is the following true?
At my school students drink alcohol, use illegal drugs, or abuse prescription drugs while at school.","X168"
"169",NA,"X169"
"170",NA,"X170"
"171",NA,"X171"
"172","11b. How often is the following true?
At my school students get into physical fights.","X172"
"173",NA,"X173"
"174",NA,"X174"
"175",NA,"X175"
"176","11c. How often is the following true?
At my school students harass or bully other students.","X176"
"177",NA,"X177"
"178",NA,"X178"
"179",NA,"X179"
"180","11d. How often is the following true?
At my school students harass or bully each other based on differences (such as race, color, ethnicity, national origin, citizenship/immigration status, religion, gender, gender identity, gender expression, sexual orientation, disability or weight).","X180"
"181",NA,"X181"
"182",NA,"X182"
"183",NA,"X183"
"184","11e. How often is the following true?
At my school there is gang activity.","X184"
"185",NA,"X185"
"186",NA,"X186"
"187",NA,"X187"
