"","V1","V2"
"184",NA,"X184"
"185",NA,"X185"
"186",NA,"X186"
"187","6i. In how many of your classes at this school do YOU feel most students try hard to get good grades?","X187"
"188",NA,"X188"
"189",NA,"X189"
"190",NA,"X190"
"191","7a. I feel safe outside around this school.","X191"
"192",NA,"X192"
"193",NA,"X193"
"194",NA,"X194"
"195","7b. I feel safe traveling between home and this school.","X195"
"196",NA,"X196"
"197",NA,"X197"
"198",NA,"X198"
"199","7c. I feel safe in the hallways, bathrooms, locker rooms, and cafeteria of this school.","X199"
"200",NA,"X200"
"201",NA,"X201"
"202",NA,"X202"
"203","7d. I feel safe in my classes at this school.","X203"
"204",NA,"X204"
"205",NA,"X205"
"206",NA,"X206"
"207","8a. At this school students harass, bully or intimidate other students.","X207"
"208",NA,"X208"
"209",NA,"X209"
"210",NA,"X210"
"211","8b. At this school students harass, bully, or intimidate each other because of their race, religion, ethnicity, national origin, or citizenship/immigration status. ","X211"
"212",NA,"X212"
"213",NA,"X213"
"214",NA,"X214"
"215","8c. At this school students harass, bully, or intimidate each other because of their gender, gender identity, gender expression, or sexual orientation.","X215"
"216",NA,"X216"
"217",NA,"X217"
"218",NA,"X218"
"219","8d. At this school students harass, bully, or intimidate each other because of other differences, like disability or weight.","X219"
"220",NA,"X220"
"221",NA,"X221"
"222",NA,"X222"
"223","8e. At this school students get into physical fights.","X223"
"224",NA,"X224"
"225",NA,"X225"
"226",NA,"X226"
"227","8f. At this school students drink alcohol, use illegal drugs, or abuse prescription drugs while at school.","X227"
"228",NA,"X228"
"229",NA,"X229"
"230",NA,"X230"
"231","8g. At this school there is gang activity.","X231"
"232",NA,"X232"
"233",NA,"X233"
"234",NA,"X234"
"235","9a. For Middle School: This school provides guidance for the application process for high school.","X235"
"236",NA,"X236"
"237",NA,"X237"
"238",NA,"X238"
"239","9b. For Middle School: This school educates families about the application/enrollment process for high school.","X239"
"240",NA,"X240"
"241",NA,"X241"
"242",NA,"X242"
"243","10a. For High School: Adults at this school (including teachers, administrators, counselors, and the principal) talk to me about what I plan to do after high school.","X243"
"244",NA,"X244"
"245",NA,"X245"
"246",NA,"X246"
"247","10b. For High School: Adults at this school (including teachers, administrators, counselors, and the principal) encourage me to continue my education after high school.","X247"
"248",NA,"X248"
"249",NA,"X249"
"250",NA,"X250"
"251","10c. For High School: Adults at this school (including teachers, administrators, counselors, and the principal) provide me with information about the college application process.","X251"
"252",NA,"X252"
"253",NA,"X253"
"254",NA,"X254"
"255","10d. For High School: Adults at this school (including teachers, administrators, counselors, and the principal) help me plan for how to meet my future career goals. ","X255"
"256",NA,"X256"
"257",NA,"X257"
"258",NA,"X258"
"259","11a. For High School: Adults at this school (including teachers, administrators, counselors, and the principal) help me consider which colleges to apply to.","X259"
"260",NA,"X260"
"261",NA,"X261"
"262",NA,"X262"
"263",NA,"X263"
"264","11b. For High School: Adults at this school (including teachers, administrators, counselors, and the principal) show me options for how to pay for college (scholarship, grants, loans, work study programs, etc.).","X264"
"265",NA,"X265"
"266",NA,"X266"
"267",NA,"X267"
"268",NA,"X268"
